V(drain) V(gate) V(source) V(body) I(Vd) I(Vg) I(Vs) I(Vb)
0.05 0 0 0 -6.167E-09 1.16746E-11 6.15532E-09 1.75042E-16
0.1 0 0 0 -7.94834E-09 3.17909E-11 7.91654E-09 2.11765E-16
0.15 0 0 0 -9.14071E-09 6.25531E-11 9.07816E-09 2.21771E-16
0.2 0 0 0 -1.03486E-08 1.06586E-10 1.02421E-08 2.27125E-16
0.25 0 0 0 -1.16643E-08 1.67006E-10 1.14973E-08 2.32294E-16
0.3 0 0 0 -1.31236E-08 2.475E-10 1.28761E-08 2.38271E-16
0.35 0 0 0 -1.47524E-08 3.52417E-10 1.44E-08 2.45387E-16
0.4 0 0 0 -1.65753E-08 4.86873E-10 1.60884E-08 2.53857E-16
0.45 0 0 0 -1.86182E-08 6.56872E-10 1.79613E-08 2.63898E-16
0.5 0 0 0 -2.09091E-08 8.69445E-10 2.00397E-08 2.7575E-16
0.55 0 0 0 -2.3479E-08 1.13281E-09 2.23462E-08 2.89686E-16
0.6 0 0 0 -2.63622E-08 1.45653E-09 2.49057E-08 3.06016E-16
0.65 0 0 0 -2.95971E-08 1.85178E-09 2.77453E-08 3.25089E-16
0.7 0 0 0 -3.32262E-08 2.33149E-09 3.08947E-08 3.47304E-16
0.75 0 0 0 -3.72972E-08 2.91071E-09 3.43865E-08 3.73107E-16
0.8 0 0 0 -4.18632E-08 3.60685E-09 3.82564E-08 4.03005E-16
0.85 0 0 0 -4.69835E-08 4.44006E-09 4.25434E-08 4.37566E-16
0.9 0 0 0 -5.27241E-08 5.43362E-09 4.72905E-08 4.7743E-16
0.95 0 0 0 -5.91589E-08 6.61438E-09 5.25445E-08 8.06382E-16
1 0 0 0 -6.63701E-08 8.01333E-09 5.83568E-08 4.86275E-15
1.05 0 0 0 -7.44498E-08 9.66611E-09 6.47834E-08 2.58564E-13
1.1 0 0 0 -8.35121E-08 1.16137E-08 7.18859E-08 1.24998E-11
1.1 0 0 0 -8.35121E-08 1.16137E-08 7.18859E-08 1.24998E-11
