V(drain) V(gate) V(source) V(body) I(Vd) I(Vg) I(Vs) I(Vb)
0.05 1.1 0 0 -2.06481E-05 -3.97997E-08 2.06855E-05 2.41674E-09
0.1 1.1 0 0 -3.99073E-05 -3.87206E-08 3.99434E-05 2.54181E-09
0.15 1.1 0 0 -5.77852E-05 -3.77946E-08 5.78203E-05 2.67288E-09
0.2 1.1 0 0 -7.43053E-05 -3.69942E-08 7.43395E-05 2.8102E-09
0.25 1.1 0 0 -8.9486E-05 -3.63038E-08 8.95193E-05 2.95402E-09
0.3 1.1 0 0 -0.000103338 -3.57126E-08 0.00010337 3.10461E-09
0.35 1.1 0 0 -0.000115858 -3.52135E-08 0.00011589 3.26225E-09
0.4 1.1 0 0 -0.000127021 -3.48039E-08 0.000127053 3.4272E-09
0.45 1.1 0 0 -0.000136769 -3.44873E-08 0.0001368 3.59977E-09
0.5 1.1 0 0 -0.000145005 -3.42745E-08 0.000145036 3.78025E-09
0.55 1.1 0 0 -0.000151651 -3.41803E-08 0.000151681 3.96895E-09
0.6 1.1 0 0 -0.000156786 -3.42098E-08 0.000156816 4.16616E-09
0.65 1.1 0 0 -0.000160723 -3.43479E-08 0.000160753 4.37222E-09
0.7 1.1 0 0 -0.000163851 -3.45682E-08 0.000163881 4.58745E-09
0.75 1.1 0 0 -0.000166475 -3.48478E-08 0.000166505 4.81217E-09
0.8 1.1 0 0 -0.000168785 -3.51713E-08 0.000168816 5.04672E-09
0.85 1.1 0 0 -0.000170895 -3.55289E-08 0.000170925 5.29144E-09
0.9 1.1 0 0 -0.00017287 -3.59147E-08 0.0001729 5.5467E-09
0.95 1.1 0 0 -0.000174752 -3.63269E-08 0.000174782 5.81285E-09
1 1.1 0 0 -0.000176566 -3.67641E-08 0.000176597 6.09025E-09
1.05 1.1 0 0 -0.000178331 -3.72138E-08 0.000178362 6.37929E-09
1.1 1.1 0 0 -0.000180058 -3.76739E-08 0.000180089 6.68033E-09
1.1 1.1 0 0 -0.000180058 -3.76739E-08 0.000180089 6.68033E-09
