V(drain1) V(gate1) V(net1) V(body1) I(Vd) I(Vg1) I(Vd2) I(Vb1) V(net2) V(gate2) V(net2) V(body2) I(Vd2) I(Vg2) I(Vs2) I(Vb2)
0.05 0 5.9566E-05 0 -6.15406E-09 1.16843E-11 6.14237E-09 1.75457E-16 5.9566E-05 1.1 0 0 6.14237E-09 -4.09526E-08 4.47974E-08 2.29756E-09
0.1 0 6.36811E-05 0 -7.93369E-09 3.18012E-11 7.90189E-09 2.12204E-16 6.36811E-05 1.1 0 0 7.90189E-09 -4.09526E-08 4.65569E-08 2.29757E-09
0.15 0 6.63921E-05 0 -9.12362E-09 6.25639E-11 9.06106E-09 2.22222E-16 6.63921E-05 1.1 0 0 9.06106E-09 -4.09525E-08 4.7716E-08 2.29758E-09
0.2 0 6.91076E-05 0 -1.03287E-08 1.06597E-10 1.02221E-08 2.27587E-16 6.91076E-05 1.1 0 0 1.02221E-08 -4.09525E-08 4.8877E-08 2.29758E-09
0.25 0 7.20357E-05 0 -1.16411E-08 1.67018E-10 1.14741E-08 2.32764E-16 7.20357E-05 1.1 0 0 1.14741E-08 -4.09525E-08 5.0129E-08 2.29759E-09
0.3 0 7.52513E-05 0 -1.30965E-08 2.47513E-10 1.2849E-08 2.3875E-16 7.52513E-05 1.1 0 0 1.2849E-08 -4.09524E-08 5.15039E-08 2.2976E-09
0.35 0 7.88047E-05 0 -1.47208E-08 3.5243E-10 1.43683E-08 2.45872E-16 7.88047E-05 1.1 0 0 1.43683E-08 -4.09524E-08 5.30231E-08 2.29761E-09
0.4 0 8.27411E-05 0 -1.65383E-08 4.86886E-10 1.60514E-08 2.54346E-16 8.27411E-05 1.1 0 0 1.60514E-08 -4.09523E-08 5.47062E-08 2.29762E-09
0.45 0 8.71066E-05 0 -1.85748E-08 6.56886E-10 1.79179E-08 2.64387E-16 8.71066E-05 1.1 0 0 1.79179E-08 -4.09523E-08 5.65726E-08 2.29763E-09
0.5 0 9.19498E-05 0 -2.08582E-08 8.6946E-10 1.99887E-08 2.76235E-16 9.19498E-05 1.1 0 0 1.99887E-08 -4.09522E-08 5.86433E-08 2.29764E-09
0.55 0 9.73233E-05 0 -2.34191E-08 1.13282E-09 2.22862E-08 2.90161E-16 9.73233E-05 1.1 0 0 2.22862E-08 -4.09522E-08 6.09408E-08 2.29765E-09
0.6 0 0.000103285 0 -2.62915E-08 1.45655E-09 2.4835E-08 3.06472E-16 0.000103285 1.1 0 0 2.4835E-08 -4.09521E-08 6.34894E-08 2.29766E-09
0.65 0 0.000109896 0 -2.95135E-08 1.8518E-09 2.76617E-08 3.25517E-16 0.000109896 1.1 0 0 2.76617E-08 -4.0952E-08 6.63161E-08 2.29768E-09
0.7 0 0.000117226 0 -3.31273E-08 2.33151E-09 3.07958E-08 3.47687E-16 0.000117226 1.1 0 0 3.07958E-08 -4.0952E-08 6.945E-08 2.2977E-09
0.75 0 0.00012535 0 -3.71798E-08 2.91073E-09 3.42691E-08 3.73427E-16 0.00012535 1.1 0 0 3.42691E-08 -4.09519E-08 7.29232E-08 2.29772E-09
0.8 0 0.00013435 0 -4.17237E-08 3.60688E-09 3.81168E-08 4.03237E-16 0.00013435 1.1 0 0 3.81168E-08 -4.09518E-08 7.67708E-08 2.29774E-09
0.85 0 0.000144315 0 -4.68173E-08 4.44009E-09 4.23772E-08 4.37679E-16 0.000144315 1.1 0 0 4.23772E-08 -4.09516E-08 8.10311E-08 2.29776E-09
0.9 0 0.000155344 0 -5.2526E-08 5.43364E-09 4.70923E-08 4.77383E-16 0.000155344 1.1 0 0 4.70923E-08 -4.09515E-08 8.57461E-08 2.29779E-09
0.95 0 0.000167543 0 -5.89223E-08 6.61441E-09 5.23078E-08 8.01195E-16 0.000167543 1.1 0 0 5.23078E-08 -4.09514E-08 9.09614E-08 2.29781E-09
1 0 0.00018103 0 -6.60871E-08 8.01336E-09 5.80738E-08 4.82023E-15 0.00018103 1.1 0 0 5.80738E-08 -4.09512E-08 9.67272E-08 2.29785E-09
1.05 0 0.000195932 0 -7.41111E-08 9.66614E-09 6.44447E-08 2.58311E-13 0.000195932 1.1 0 0 6.44447E-08 -4.09511E-08 1.03098E-07 2.29788E-09
1.1 0 0.000212389 0 -8.31062E-08 1.16138E-08 7.148E-08 1.24985E-11 0.000212389 1.1 0 0 7.148E-08 -4.09509E-08 1.10133E-07 2.29792E-09
1.1 0 0.000212389 0 -8.31062E-08 1.16138E-08 7.148E-08 1.24985E-11 0.000212389 1.1 0 0 7.148E-08 -4.09509E-08 1.10133E-07 2.29792E-09
