V(drain) V(gate) V(source) V(body) I(Vd) I(Vg) I(Vs) I(Vb)
0.05 1.1 1.1 1.1 6.91001E-08 -5.92055E-09 -6.31794E-08 -1.41574E-13
0.1 1.1 1.1 1.1 6.28717E-08 -5.05388E-09 -5.78178E-08 -3.70537E-15
0.15 1.1 1.1 1.1 5.71789E-08 -4.29532E-09 -5.28835E-08 -8.04912E-16
0.2 1.1 1.1 1.1 5.1977E-08 -3.63316E-09 -4.83438E-08 -6.03684E-16
0.25 1.1 1.1 1.1 4.72257E-08 -3.0568E-09 -4.41689E-08 -5.6552E-16
0.3 1.1 1.1 1.1 4.2888E-08 -2.55672E-09 -4.03312E-08 -5.34295E-16
0.35 1.1 1.1 1.1 3.89295E-08 -2.12435E-09 -3.68052E-08 -5.13478E-16
0.4 1.1 1.1 1.1 3.5319E-08 -1.75196E-09 -3.3567E-08 -4.92661E-16
0.45 1.1 1.1 1.1 3.20272E-08 -1.43264E-09 -3.05946E-08 -4.61436E-16
0.5 1.1 1.1 1.1 2.90273E-08 -1.16017E-09 -2.78671E-08 -4.47559E-16
0.55 1.1 1.1 1.1 2.62944E-08 -9.28969E-10 -2.53654E-08 -4.30211E-16
0.6 1.1 1.1 1.1 2.38054E-08 -7.34053E-10 -2.30713E-08 -4.02456E-16
0.65 1.1 1.1 1.1 2.15388E-08 -5.70953E-10 -2.09678E-08 -3.88578E-16
0.7 1.1 1.1 1.1 1.94744E-08 -4.35671E-10 -1.90387E-08 -3.7817E-16
0.75 1.1 1.1 1.1 1.75933E-08 -3.24656E-10 -1.72686E-08 -3.85109E-16
0.8 1.1 1.1 1.1 1.58767E-08 -2.34722E-10 -1.5642E-08 -3.7817E-16
0.85 1.1 1.1 1.1 1.43055E-08 -1.63046E-10 -1.41424E-08 -3.747E-16
0.9 1.1 1.1 1.1 1.28565E-08 -1.07123E-10 -1.27493E-08 -3.747E-16
0.95 1.1 1.1 1.1 1.1491E-08 -6.4718E-11 -1.14263E-08 -3.60822E-16
1 1.1 1.1 1.1 1.00877E-08 -3.38574E-11 -1.00539E-08 -3.29597E-16
1.05 1.1 1.1 1.1 7.78431E-09 -1.27969E-11 -7.77151E-09 -2.94903E-16
1.1 1.1 1.1 1.1 7.89299E-19 -1.77636E-15 7.89473E-19 0
1.1 1.1 1.1 1.1 7.89299E-19 -1.77636E-15 7.89473E-19 0
