V(drain) V(gate) V(source) V(body) I(Vd) I(Vg) I(Vs) I(Vb)
0.05 0 1.1 1.1 6.7011E-05 3.9014E-08 -6.70356E-05 -1.4463E-08
0.1 0 1.1 1.1 6.60547E-05 3.84949E-08 -6.60792E-05 -1.39894E-08
0.15 0 1.1 1.1 6.50562E-05 3.79956E-08 -6.50806E-05 -1.35285E-08
0.2 0 1.1 1.1 6.39975E-05 3.75352E-08 -6.40219E-05 -1.30801E-08
0.25 0 1.1 1.1 6.28514E-05 3.71219E-08 -6.28759E-05 -1.26439E-08
0.3 0 1.1 1.1 6.15777E-05 3.67662E-08 -6.16023E-05 -1.22197E-08
0.35 0 1.1 1.1 6.0123E-05 3.64845E-08 -6.01477E-05 -1.18074E-08
0.4 0 1.1 1.1 5.84301E-05 3.62895E-08 -5.8455E-05 -1.14066E-08
0.45 0 1.1 1.1 5.64543E-05 3.61829E-08 -5.64795E-05 -1.10171E-08
0.5 0 1.1 1.1 5.41704E-05 3.61563E-08 -5.41959E-05 -1.06388E-08
0.55 0 1.1 1.1 5.15661E-05 3.61995E-08 -5.1592E-05 -1.02713E-08
0.6 0 1.1 1.1 4.8634E-05 3.63047E-08 -4.86604E-05 -9.91453E-09
0.65 0 1.1 1.1 4.53684E-05 3.64681E-08 -4.53953E-05 -9.56818E-09
0.7 0 1.1 1.1 4.17636E-05 3.66886E-08 -4.17911E-05 -9.23206E-09
0.75 0 1.1 1.1 3.78137E-05 3.69673E-08 -3.78418E-05 -8.90594E-09
0.8 0 1.1 1.1 3.35128E-05 3.73066E-08 -3.35415E-05 -8.58961E-09
0.85 0 1.1 1.1 2.88548E-05 3.77101E-08 -2.88842E-05 -8.28286E-09
0.9 0 1.1 1.1 2.38333E-05 3.81825E-08 -2.38635E-05 -7.98547E-09
0.95 0 1.1 1.1 1.84419E-05 3.87298E-08 -1.8473E-05 -7.69723E-09
1 0 1.1 1.1 1.26743E-05 3.93606E-08 -1.27062E-05 -7.41793E-09
1.05 0 1.1 1.1 6.52355E-06 4.00925E-08 -6.5565E-06 -7.14737E-09
1.1 0 1.1 1.1 -1.6979E-08 4.08433E-08 -1.6979E-08 -6.88534E-09
1.1 0 1.1 1.1 -1.6979E-08 4.08433E-08 -1.6979E-08 -6.88534E-09
