V(drain1) V(gate1) V(source1) V(body1) I(Vnet) I(Vg1) I(Vs1) I(Vb1) V(drain2) V(gate2) V(source2) V(body2) I(Vd2) I(Vg2) I(Vnet) I(Vb2)
0.0641935 1.1 0.05 1.1 5.66283E-09 -1.15834E-08 5.92067E-09 -1.5327E-13 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.1 1.1 5.66283E-09 -1.07167E-08 5.05388E-09 -2.98719E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.15 1.1 5.66283E-09 -9.95813E-09 4.29533E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.2 1.1 5.66283E-09 -9.29597E-09 3.63316E-09 -2.95736E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.25 1.1 5.66283E-09 -8.71961E-09 3.05681E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.3 1.1 5.66283E-09 -8.21953E-09 2.55672E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.35 1.1 5.66283E-09 -7.78715E-09 2.12435E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.4 1.1 5.66283E-09 -7.41476E-09 1.75196E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.45 1.1 5.66283E-09 -7.09544E-09 1.43264E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641935 1.1 0.5 1.1 5.66283E-09 -6.82297E-09 1.16017E-09 -2.95805E-14 0 0 0.0641935 1.1 5.65627E-09 6.63717E-12 5.66283E-09 -6.95798E-14
0.0641936 1.1 0.55 1.1 5.66284E-09 -6.59177E-09 9.28967E-10 -2.95736E-14 0 0 0.0641936 1.1 5.65627E-09 6.63717E-12 5.66284E-09 -6.95798E-14
0.0641936 1.1 0.6 1.1 5.66285E-09 -6.39686E-09 7.34038E-10 -2.95805E-14 0 0 0.0641936 1.1 5.65628E-09 6.63717E-12 5.66285E-09 -6.95798E-14
0.0641939 1.1 0.65 1.1 5.6629E-09 -6.23375E-09 5.70879E-10 -2.95805E-14 0 0 0.0641939 1.1 5.65633E-09 6.63718E-12 5.6629E-09 -6.95798E-14
0.0641952 1.1 0.7 1.1 5.66316E-09 -6.09845E-09 4.35317E-10 -2.95805E-14 0 0 0.0641952 1.1 5.65659E-09 6.63722E-12 5.66316E-09 -6.95798E-14
0.0642018 1.1 0.75 1.1 5.66441E-09 -5.98731E-09 3.22934E-10 -2.95423E-14 0 0 0.0642018 1.1 5.65784E-09 6.63741E-12 5.66441E-09 -6.95798E-14
0.0642329 1.1 0.8 1.1 5.67039E-09 -5.89683E-09 2.26466E-10 -2.94591E-14 0 0 0.0642329 1.1 5.66382E-09 6.63834E-12 5.67039E-09 -6.95798E-14
0.0643801 1.1 0.85 1.1 5.69869E-09 -5.82253E-09 1.23865E-10 -2.9015E-14 0 0 0.0643801 1.1 5.69212E-09 6.64269E-12 5.69869E-09 -6.95798E-14
0.065058 1.1 0.9 1.1 5.83058E-09 -5.75454E-09 -7.60131E-11 -2.70096E-14 0 0 0.065058 1.1 5.82398E-09 6.6622E-12 5.83058E-09 -6.95798E-14
0.0679906 1.1 0.95 1.1 6.43002E-09 -5.66018E-09 -7.69815E-10 -1.96995E-14 0 0 0.0679906 1.1 6.42335E-09 6.73626E-12 6.43002E-09 -6.96353E-14
0.0785665 1.1 1 1.1 9.03904E-09 -5.44528E-09 -3.59375E-09 -6.18949E-15 0 0 0.0785665 1.1 9.03224E-09 6.86975E-12 9.03904E-09 -6.98018E-14
0.104178 1.1 1.05 1.1 1.95781E-08 -4.99932E-09 -1.45788E-08 -8.91648E-16 0 0 0.104178 1.1 1.95717E-08 6.45561E-12 1.95781E-08 -7.04298E-14
0.142858 1.1 1.1 1.1 5.79609E-08 -4.39751E-09 -5.35634E-08 -9.36751E-16 0 0 0.142858 1.1 5.79559E-08 5.07855E-12 5.79609E-08 -7.27231E-14
0.142858 1.1 1.1 1.1 5.79609E-08 -4.39751E-09 -5.35634E-08 -9.36751E-16 0 0 0.142858 1.1 5.79559E-08 5.07855E-12 5.79609E-08 -7.27231E-14
