PB0,PB1,PB2,PB3,GB0,GB1,GB2,GB3,CIN,CINB,PB_OUT,GB_OUT,CNX_OUT,CNY_OUT,CNZ_OUT,total_leakage
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7590.378634820881
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,7671.928856245559
0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,7492.9528001203935
0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,7574.503021545071
0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,7460.627359136268
0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,7513.127998333864
0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,7446.7228447992
0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,7499.223483996796
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,7309.27651412935
0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,7336.3549974176885
0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,7211.850679428862
0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,7238.929162717201
0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,7272.124467065156
0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,7270.153368126414
0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,7258.219952728088
0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,7256.248853789346
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,7331.214438812515
0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,7398.386992042455
0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,7233.788604112027
0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,7300.961157341967
0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,7201.463163127901
0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,7239.586134130759
0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,7187.558648790832
0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,7225.6816197936905
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,7286.453852499167
0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,7441.804698090363
0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,7189.028017798679
0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,7344.378863389875
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,7147.379265111997
0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,7375.603068799087
0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,7062.930278677953
0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,7291.154082365043
0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,7372.76771544837
0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,7454.317936873047
0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,7167.398579475282
0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,7248.948800899959
0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,7243.016439763756
0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,7295.517078961352
0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,7121.168624154089
0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,7173.669263351684
0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,7091.665594756839
0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,7118.744078045177
0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,6886.2964587837505
0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,6913.374942072089
0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,7054.513547692644
0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,7052.542448753902
0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,6932.665732082976
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,6930.694633144234
0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,7113.603519440004
0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,7180.7760726699435
0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,6908.2343834669155
0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,6975.406936696856
0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,6983.852243755389
0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,7021.975214758248
0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,6862.00442814572
0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,6900.127399148579
0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,7068.842933126655
0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,7224.193778717851
0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,6863.473797153568
